trial,start_time,rt,correct,fact_id,question,answer,question2,alpha,block,is_gamification,answer_given,shots_fired,shots_fired_total,ship_name,ship_color,lives,level,enemies_on_screen
1,26166,1736,False,32,18 x 9,162,9 x 18,0.3,1,True,12,3,3,pointy_boy,purple,3,1,1
2,33782,903,False,32,18 x 9,162,9 x 18,0.3,1,[True],14,1,4,['pointy_boy'],['purple'],3,1,1
3,39611,2117,True,20,13 x 5,65,5 x 13,0.3,1,[True],65,1,5,['pointy_boy'],['purple'],3,1,2
4,44254,1394,True,20,13 x 5,65,5 x 13,0.3,1,[True],65,1,6,['pointy_boy'],['purple'],3,1,1
5,49234,1933,True,12,9 x 5,45,5 x 9,0.3,1,[True],45,1,7,['pointy_boy'],['purple'],3,2,0
6,56715,3670,True,6,6 x 7,42,7 x 6,0.3,1,[True],42,1,8,['pointy_boy'],['purple'],3,2,0
7,64602,2359,True,12,9 x 5,45,5 x 9,0.3,1,[True],45,1,9,['pointy_boy'],['purple'],3,2,0
8,70986,2049,True,6,6 x 7,42,7 x 6,0.3,1,[True],42,1,10,['pointy_boy'],['purple'],3,3,1
9,75806,4932,False,24,13 x 9,117,9 x 13,0.3,1,[True],113,1,11,['pointy_boy'],['purple'],3,3,0
10,86587,5749,True,32,18 x 9,162,9 x 18,0.349609375,1,[True],162,1,12,['pointy_boy'],['purple'],3,3,2
11,94382,2945,True,24,13 x 9,117,9 x 13,0.3,1,[True],117,1,13,['pointy_boy'],['purple'],3,3,1
12,100508,2279,True,20,13 x 5,65,5 x 13,0.271484375,1,[True],65,1,14,['pointy_boy'],['purple'],3,4,1
13,106106,1647,True,16,9 x 9,81,9 x 9,0.3,1,[True],81,1,15,['pointy_boy'],['purple'],3,4,0
14,112371,1726,True,9,9 x 2,18,2 x 9,0.3,1,[True],18,1,16,['pointy_boy'],['purple'],3,4,0
15,117489,1412,True,16,9 x 9,81,9 x 9,0.3,1,[True],81,1,17,['pointy_boy'],['purple'],3,5,2
16,121072,1478,True,9,9 x 2,18,2 x 9,0.3,1,[True],18,1,18,['pointy_boy'],['purple'],3,5,1
17,125548,1598,True,12,9 x 5,45,5 x 9,0.250390625,1,[True],45,1,19,['pointy_boy'],['purple'],3,5,1
18,130365,2151,True,6,6 x 7,42,7 x 6,0.262109375,1,[True],42,1,20,['pointy_boy'],['purple'],3,6,1
19,135587,3423,True,32,18 x 9,162,9 x 18,0.39921875,1,[True],162,1,21,['pointy_boy'],['purple'],3,6,1
20,141596,11485,False,22,13 x 7,91,7 x 13,0.3,1,[True],1,1,22,['pointy_boy'],['purple'],3,6,2
21,156600,4746,False,24,13 x 9,117,9 x 13,0.349609375,1,[True],1,1,23,['pointy_boy'],['purple'],3,6,2
22,165825,2186,False,22,13 x 7,91,7 x 13,0.3,1,[True],12,1,24,['pointy_boy'],['purple'],3,6,2
23,173514,1900,False,32,18 x 9,162,9 x 18,0.4332031249999999,1,[True],17,1,25,['pointy_boy'],['purple'],3,7,2
24,180832,1593,True,16,9 x 9,81,9 x 9,0.250390625,1,[True],81,1,26,['pointy_boy'],['purple'],3,7,1
25,185864,1757,True,9,9 x 2,18,2 x 9,0.250390625,1,[True],18,1,27,['pointy_boy'],['purple'],3,7,2
26,190758,7098,True,23,13 x 8,104,8 x 13,0.3,1,[True],104,1,28,['pointy_boy'],['purple'],3,7,1
