trial,start_time,rt,correct,fact_id,question,answer,question2,alpha,block,is_gamification,answer_given
1,943,1756,False,8,6 x 9,54,9 x 6,0.3,1,False,3476
2,5719,1854,True,8,6 x 9,54,9 x 6,0.3,1,[False],54
3,10596,5901,True,32,14 x 9,126,9 x 14,0.3,1,[False],126
4,19528,1108,False,32,14 x 9,126,9 x 14,0.3,1,[False],99
1,943,1756,False,8,6 x 9,54,9 x 6,0.3,1,False,3476
2,5719,1854,True,8,6 x 9,54,9 x 6,0.3,1,[False],54
3,10596,5901,True,32,14 x 9,126,9 x 14,0.3,1,[False],126
4,19528,1108,False,32,14 x 9,126,9 x 14,0.3,1,[False],99
5,27719,1790,False,34,16 x 3,48,3 x 16,0.3,1,[False],1234
6,32537,9035,True,22,13 x 7,91,7 x 13,0.3,1,[False],91
7,44611,1431,False,34,16 x 3,48,3 x 16,0.3,1,[False],11
